Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Toilets,Agent_number,Added_on,Updated_on
Tastefully Built Mini Flat Apartment,Egbeda Alimosho Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-egbeda-alimosho-lagos-7GBXC,Lagos,Alimosho,"500,000/year",1 beds,2 baths,2 Toilets,08135357500,18 Feb 2022,19 Feb 2022
Nice And Well Maintained Open Plan Office Space In Surulere,Western Avenue Surulere Western Avenue Surulere Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-western-avenue-surulere-western-avenue-surulere-lagos-3FKXX,Lagos,Surulere,"1,000,000/year", beds, baths, Toilets,08186532571,28 Sep 2021,19 Feb 2022
Luxury 4 Bedroom All Rooms En Suite Apartment,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-3GBYU,Lagos,Ikoyi,"19,000,000",4 beds,4 baths,5 Toilets,08164687732,18 Feb 2022,19 Feb 2022
Luxury 5bedrooom Duplex +bq,It's Located Inside An Estate Osapa London Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-its-located-inside-an-estate-osapa-london-lekki-lagos-3FYNA,Lagos,Lekki,"8,000,000/year",5 beds,5 baths,6 Toilets,08164968133,25 Jan 2022,19 Feb 2022
Serviced 3bedroom Flat With Fitted Kitchen,Off Hakeem Dickson Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-off-hakeem-dickson-lekki-phase-1-lekki-lagos-9FZSF,Lagos,Lekki,"6,000,000/year",3 beds,3 baths,4 Toilets,08133194443,02 Feb 2022,19 Feb 2022
Top Notch 2 Bedroom Flat With Excellent Facilities In A Serene Neighborhood,"Isheri North Estate, Opic Isheri North Ojodu Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-isheri-north-estate-opic-isheri-north-ojodu-lagos-5FYJY,Lagos,Ojodu,"800,000/year",2 beds,2 baths,3 Toilets,08137584753,24 Jan 2022,19 Feb 2022
Newly Built 2 Bedrooms Apartment,Iletuntun Idishin Ibadan Oyo,https://www.propertypro.ng/property/2-bedroom-house-for-rent-iletuntun-idishin-ibadan-oyo-5GBXC,Oyo,Ibadan,"400,000/year",2 beds,2 baths,2 Toilets,07067980197,18 Feb 2022,19 Feb 2022
Newly Painted 3 Bedroom Flat,Oke Bukun Estate Akala Express Ibadan Oyo,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-oke-bukun-estate-akala-express-ibadan-oyo-7FZRD,Oyo,Ibadan,"450,000/year",3 beds,3 baths,3 Toilets,08052778232,02 Feb 2022,19 Feb 2022
Newly Built Mini Flat,Bariga Shomolu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-bariga-shomolu-lagos-3FQQX,Lagos,Shomolu,"600,000/year",0 beds,0 baths,0 Toilets,07062429955,08 Nov 2021,19 Feb 2022
Cozy Private Serviced Master Bedroom Suite,"First Unity Estate, Co Operative Bustop, Badore Road Badore Ajah Lagos",https://www.propertypro.ng/property/1-bedroom-house-for-shortlet-first-unity-estate-co-operative-bustop-badore-road-badore-ajah-lagos-8ENJC,Lagos,Ajah,"20,000/day",1 beds,1 baths,1 Toilets,09093333337,12 Apr 2021,22 Feb 2022
Sharp 3bedroom Flat,Thomas Estate Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-thomas-estate-ajah-lagos-7GAMA,Lagos,Ajah,"2,000,000",3 beds,4 baths,0 Toilets,09053588424,08 Feb 2022,19 Feb 2022
